,Set number,Name,Also known as,Set type,Theme group,Theme,Subtheme,Year released,Tags,Pieces,RRP,Current value,Price per piece,Age range,Packaging,Dimensions,Availability,Notes,Rating,Minifigs,Weight,Barcodes,Designer,Designers,LEGO item numbers
13752,960-1,Power Pack,,Normal,Technical,Technic,Supplementary,1978,View tags »4.5VElectricElectric Motor ,22,,"
New: 
Used:
",,,Box,,Retail,Random set of the day on 10 Jul 2019US version of 870-1 ,Not yet rated,,,,,,
13753,9604-1,LEGO Technic and Pneumatic Elements,,Normal,Educational,Dacta,,1992,View tags »PneumaticTechnic ,124,$36.95,"
New: ~CA$92
Used: ~CA$28
",29.8c,,,,,,Not yet rated,,,,,,
13754,9605-1,4.5V Technic Resource Set,,Normal,Educational,Dacta,Technic,1995,View tags »,268,,"
New: 
Used:
",,,Box,,Educational,,Not yet rated,,,,,,
13755,9607-1,Technology Activity Set (Manufacturing Systems Set),,Normal,Educational,Dacta,Technic,1994,View tags »,298,,"
New: ~CA$368
Used:
",,,,,,,Not yet rated,,,,,,
13756,9609-1,Technology Resource Set,,Normal,Educational,Dacta,Technic,1995,View tags »ElectricPneumatic ,1733,,"
New: ~CA$508
Used:
",,,Box,,,,Not yet rated,,,,,,
13757,9610-1,Gears Set,,Normal,Educational,Dacta,Technic,1993,View tags »Baseplate ,67,$12.50,"
New: ~CA$33
Used: ~CA$25
",18.7c,,,,,,Not yet rated,2,,,,,
13758,961-1,Parts Pack,,Normal,Technical,Technic,Supplementary,1978,View tags »,78,,"
New: 
Used: ~CA$44
",,,Box,,Retail,Random set of the day on 09 Jul 2019US version of 871-1 ,Not yet rated,,,,,,
13759,9612-1,Levers Set,,Normal,Educational,Dacta,Technic,1993,View tags »,62,$15.00,"
New: ~CA$47
Used: ~CA$13
",24.2c,,,,,,Not yet rated,,,,,,
13760,9614-1,Pulleys Mini Set,,Normal,Educational,Dacta,Technic,1993,View tags »,77,$15.00,"
New: ~CA$13
Used: ~CA$20
",19.5c,,,,,,Not yet rated,,,,,,
13761,9615-1,Motor Add-On for Simple Mechanisms,,Normal,Educational,Dacta,Technic,1997,View tags »Electric ,3,$32.00,"
New: ~CA$32
Used: ~CA$28
",1066.7c,,,,,,Not yet rated,,,,,,
13762,9616-1,Wheels and Axles Set,,Normal,Educational,Dacta,Technic,1995,View tags »,75,$15.00,"
New: ~CA$43
Used: ~CA$21
",20.0c,,,,,,Not yet rated,1,,,,,
13763,9617-1,Introducing Air Power ,,Normal,Educational,Dacta,,1997,View tags »Pneumatic ,89,,"
New: 
Used: ~CA$44
",,,Box,,Educational,,Not yet rated,,,,,,
13764,9618-1,Structures Set,,Normal,Educational,Dacta,Technic,1998,View tags »,463,,"
New: ~CA$81
Used:
",,,,,,,Not yet rated,,,,,,
13765,9628-1,Power Add-On Set,,Normal,Educational,Education,Supplementary Set,2008,View tags »Electric ,3,$35.95,"
New: ~CA$25
Used: ~CA$29
",1198.3c,,,,,,Not yet rated,,,,,,EU: 4290189
13766,9630-1,Simple Mechanisms Set,,Normal,Educational,Dacta,Technic,1997,View tags »Baseplate ,277,$80.00,"
New: ~CA$173
Used: ~CA$48
",28.9c,,,,,,Not yet rated,,,,,,
13767,9632-1,Science and Technology Base Set,,Normal,Educational,Education,,2007,View tags »,352,,"
New: ~CA$162
Used: ~CA$99
",,,,,,,Not yet rated,2,,,,,
13768,9633-1,Advanced Air Power Set,,Normal,Educational,Education,Technic,1997,View tags »ElectricPneumatic ,238,,"
New: ~CA$273
Used: ~CA$191
",,,Plastic box,,,,Not yet rated,,,,,,
13769,964-1,"10 building plates 2 x 8, 4 x 8, 6 x 8",,Normal,Basic,System,Supplemental,1969,View tags »,10,,"
New: ~CA$17
Used:
",,,,,,,Not yet rated,,,,,,
13770,9641-1,Pneumatics Add-On Set,,Normal,Educational,Education,,2008,View tags »Pneumatic ,31,$55.00,"
New: ~CA$97
Used: ~CA$97
",177.4c,,,,,Intended for use with Dacta sets 9632 or 9686.Includes 10 activity booklets.,Not yet rated,,0.74Kg (1.63 lb),EAN: 5702014582767,,,
13771,9648-1,Education Resource Set,,Normal,Educational,Education,,2008,View tags »,672,$59.00,"
New: ~CA$164
Used: ~CA$57
",8.8c,,,,,"The description from LEGOeducation.com and the LEGO Education catalog state 671 pcs, but the packing and BOM of 9648 list 672 elements.",Not yet rated,,,,,,
13772,9649-1,Technology Resource Set,,Normal,Educational,Education,,2003,View tags »,1110,£56.51 / $55.00,"
New: ~CA$285
Used:
",5.1p / 5.0c,,,,,, 1 Review,,,,,,
13773,9650-1,Scenery Resource Set,,Normal,Educational,Education,,2002,View tags »,679,£56.51 / $55.00,"
New: 
Used:
",8.3p / 8.1c,,,,,,Not yet rated,16,,,,,
13774,9652-1,Fun Time Gears,,Normal,Educational,Dacta,Duplo,1995,View tags »,27,,"
New: 
Used: ~CA$82
",,,,,,,Not yet rated,,,,,,
13775,9653-1,Mechanical Toy Shop,,Normal,Educational,Dacta,Duplo,1995,View tags »,32,,"
New: 
Used:
",,,Plastic box,,Educational,,Not yet rated,2,,,,,
13776,9654-1,Early Simple Machines II Set,,Normal,Educational,Dacta,,1998,View tags »,99,$92.75,"
New: 
Used: ~CA$127
",93.7c,,,,,, 1 Review,2,,,,,
13777,9655-1,Fun Time Gears II Set,,Normal,Educational,Dacta,,1998,View tags »,46,$52.25,"
New: ~CA$133
Used:
",113.6c,,,,,,Not yet rated,,,,,,
13778,9656-1,Early Simple Machines Set,,Normal,Educational,Education,Duplo,2008,View tags »,102,£169.99 / $174.95 / 185.20€,,166.7p / 171.5c / 181.6c,,,,,,Not yet rated,2,1.92Kg (4.23 lb),EAN: 5702014517516,,,
13779,9657-1,FIRST LEGO League Challenge 2012 - Senior Solutions,,Normal,Educational,Education,FIRST LEGO League,2012,View tags »,1615,,"
New: ~CA$214
Used: ~CA$127
",,,,,,,Not yet rated,,,,,,
13780,9660-1,Early Structures,,Normal,Educational,Dacta,,1995,View tags »Duplo ,107,$69.00,"
New: ~CA$119
Used:
",64.5c,,,,,,Not yet rated,2,2.27Kg (5 lb),EAN: 5703860008906,,,
13781,9664-1,FLL Challenge 2013 Nature's Fury,,Normal,Educational,Education,FIRST LEGO League,2013,View tags »,2031,,"
New: ~CA$191
Used: ~CA$212
",,,,,,,Not yet rated,3,,,,,
13782,9665-1,Mechanical Engineering,,Normal,Educational,Dacta,Technic,2003,View tags »Cd RomElectric ,318,$150.00,"
New: ~CA$127
Used:
",47.2c,,,,,,Not yet rated,,,,,,
13783,9667-1,LEGO Solar Panel,,Normal,Educational,Education,Mindstorms,2010,View tags »Electric ,1,,"
New: ~CA$55
Used:
",,,,,,,Not yet rated,,0.08Kg (0.18 lb),EAN: 5702014624078,,,
13784,9668-1,Energy Display,,Normal,Educational,Education,Mindstorms,2010,View tags »Electric ,1,,"
New: ~CA$31
Used:
",,,,,,,Not yet rated,,0.09Kg (0.2 lb),EAN: 5702014624085,,,
13785,9669-1,Energy Storage,,Normal,Educational,Education,Mindstorms,2010,View tags »Electric ,1,$16.95,"
New: ~CA$25
Used:
",1695.0c,8+,,,,"US$ price represents the price at release in 2010. As of March 2018, the price is $31.95 (and the color has changed to Medium Stone Grey)",Not yet rated,,0.05Kg (0.11 lb),EAN: 5702014624092,,,
13786,9670-1,E-Motor,,Normal,Educational,Education,Mindstorms,2010,View tags »Electric ,1,$16.95,"
New: ~CA$32
Used: ~CA$13
",1695.0c,7+,,,,"U.S. price was price at release in 2010. As of 2018.03, the price was $26.95",Not yet rated,,0.05Kg (0.11 lb),EAN: 5702014625389,,,
13787,9674-1,Naboo Starfighter & Naboo,,Normal,Licensed,Star Wars,Planet Set,2012,View tags »Naboo Fighter Pilot MicroscaleNabooPlanet Set Series 1Prequel TrilogyStarfighterThe Phantom Menace ,56,£9.99 / $9.99,"
New: ~CA$18
Used: ~CA$9
",17.8p / 17.8c,6 - 12,Other,14.1 x 19.1 x 8.8 cm (5.6 x 7.5 x 3.5 in),Retail,,✭✭✭✭✩ 3.4 221 ratings 8 Reviews,1,0.11Kg (0.24 lb),UPC: 673419168069EAN: 5702014841109,,,NA: 4654396EU: 4640528
13788,9675-1,Sebulba's Podracer & Tatooine,,Normal,Licensed,Star Wars,Planet Set,2012,View tags »Sebulba MicroscalePlanet Set Series 1PodracerPrequel TrilogyTatooineThe Phantom Menace ,80,£9.99 / $9.99,"
New: ~CA$20
Used: ~CA$11
",12.5p / 12.5c,6 - 12,Other,14.1 x 19.1 x 8.8 cm (5.6 x 7.5 x 3.5 in),Retail,,✭✭✭✭✩ 3.5 231 ratings 7 Reviews,1,0.14Kg (0.31 lb),UPC: 673419168076EAN: 5702014841116,,,NA: 4654402
13789,9676-1,TIE Interceptor & Death Star,,Normal,Licensed,Star Wars,Planet Set,2012,View tags »TIE Fighter Pilot Galactic EmpireMicroscaleOriginal TrilogyPlanet Set Series 1Starfighter ,65,£9.99 / $9.99,"
New: ~CA$39
Used: ~CA$20
",15.4p / 15.4c,6 - 12,Other,14.1 x 19.1 x 8.8 cm (5.6 x 7.5 x 3.5 in),Retail,,✭✭✭✭✩ 3.7 283 ratings 11 Reviews,1,0.15Kg (0.33 lb),UPC: 673419168083EAN: 5702014841123,,,NA: 4654415EU: 4640530
13790,9677-1,X-wing Starfighter & Yavin 4,,Normal,Licensed,Star Wars,Planet Set,2012,View tags »Rebel Pilot MicroscaleOriginal TrilogyPlanet Set Series 2Rebel AllianceStarfighter ,77,£9.99 / $9.99,"
 New: ~CA$25
Used: ~CA$11
",13.0p / 13.0c,6 - 12,Box,14.1 x 19.1 x 8.8 cm (5.6 x 7.5 x 3.5 in),Retail,,✭✭✭✭✩ 3.6 175 ratings 5 Reviews Official Brickset review,1,0.14Kg (0.31 lb),UPC: 673419168090EAN: 5702014841130,,,NA: 4654418
13791,9678-1,Twin-Pod Cloud Car & Bespin,,Normal,Licensed,Star Wars,Planet Set,2012,View tags »Lobot BespinCloud CityMicroscaleOriginal TrilogyPlanet Set Series 2The Empire Strikes BackTwin Pod Cloud Car ,78,£9.99 / $9.99,"
New: ~CA$13
Used: ~CA$10
",12.8p / 12.8c,6 - 12,Box,14.1 x 19.1 x 8.8 cm (5.6 x 7.5 x 3.5 in),Retail,,✭✭✭✭✩ 3.6 215 ratings 9 Reviews Official Brickset review,1,0.15Kg (0.33 lb),UPC: 673419168106EAN: 5702014841161,,,NA: 4654419EU: 4640532
13792,9679-1,AT-ST & Endor,,Normal,Licensed,Star Wars,Planet Set,2012,View tags »AT-ST Pilot Galactic EmpireMicroscaleOriginal TrilogyPlanet Set Series 2Return Of The JediWalker ,65,£9.99 / $9.99,"
New: ~CA$22
Used: ~CA$13
",15.4p / 15.4c,6 - 12,Box,14.1 x 19.1 x 8.8 cm (5.6 x 7.5 x 3.5 in),Retail,,✭✭✭✭✩ 3.6 218 ratings 8 Reviews Official Brickset review,1,0.14Kg (0.31 lb),UPC: 673419168113EAN: 5702014841215,,,NA: 4654420
13793,9684-1,Renewable Energy Set,,Normal,Educational,Education,,2003,View tags »9VElectricElectric MotorLight BrickSolar PanelWindmill ,729,£170.65 / $170.00,"
New: ~CA$139
Used: ~CA$95
",23.4p / 23.3c,,,,,,Not yet rated,4,,,,,
13794,9686-1,Simple & Powered Machines Set,,Normal,Educational,Education,,2009,View tags »CraneElectricElectric MotorPower Functions ,396,£189.99 / $199.95 / 204.70€,,48.0p / 50.5c / 51.7c,8+,,,,,Not yet rated,2,3.69Kg (8.13 lb),EAN: 5702014533431,,,
13795,9688-1,Renewable Energy Add-On Set,,Normal,Educational,Education,,2010,View tags »Electric ,12,$99.95,"
New: ~CA$160
Used: ~CA$143
",832.9c,8+,,,,,Not yet rated,,0.98Kg (2.16 lb),EAN: 5702014607804,,,
13796,9689-1,Simple Machines Set,,Normal,Educational,Education,Technic,2012,View tags »Brick Separator ,204,,"
New: ~CA$75
Used: ~CA$83
",,,Tub,,Educational,,Not yet rated,,0.17Kg (0.37 lb),UPC: 673419165204,,,
13797,9690-1,Unknown,,Normal,Educational,Education,Duplo,2009,View tags »Slide ,172,,"
New: 
Used:
",,,Box,,Educational,,Not yet rated,2,,EAN: 5702014536722,,,EU: 4538394
13798,9693-1,NXT DC Rechargeable Battery,,Normal,Educational,Education,,2010,View tags »Electric ,1,£59.99 / $79.99 / 69.99€,"
New: ~CA$70
Used: ~CA$40
",5999.0p / 7999.0c / 6999.0c,,,,,,Not yet rated,,0.14Kg (0.31 lb),,,,
13799,9694-1,Colour Sensor,,Normal,Educational,Education,,2010,View tags »Electric ,1,£21.99 / $39.99 / 25.99€,"
New: ~CA$33
Used: ~CA$25
",2199.0p / 3999.0c / 2599.0c,,,,,,Not yet rated,,0.06Kg (0.13 lb),,,,
13800,9695-1,LEGO Mindstorms Education Resource Set,,Normal,Educational,Education,Mindstorms,2010,View tags »,817,$99.95,"
New: ~CA$286
Used: ~CA$127
",12.2c,,,,,,Not yet rated,,1.99Kg (4.38 lb),EAN: 5702014625723,,,
13801,9696-1,FIRST LEGO League Challenge 2010 - Body Forward v46,,Normal,Educational,Education,FIRST LEGO League,2010,View tags »,1515,,"
New: ~CA$210
Used: ~CA$102
",,,,,,,Not yet rated,,,,,,
13802,9697-1,FIRST LEGO League Challenge 2011 - Food Factor,,Normal,Educational,Education,FIRST LEGO League,2011,View tags »Baked GoodsFresh ProduceFrozen TreatsPizza ,2105,,"
New: ~CA$191
Used: ~CA$191
",,,,,,,Not yet rated,,,,,,
13803,9698-1,FIRST LEGO League Challenge 2009 - Smart Move,,Normal,Educational,Education,FIRST LEGO League,2009,View tags »,1309,,"
New: 
Used: ~CA$305
",,,,,,,Not yet rated,,,,,,
13804,9699-1,FIRST LEGO League Challenge 2008 - Climate Connections,,Normal,Educational,Education,FIRST LEGO League,2008,View tags »,778,,"
New: 
Used:
",,,,,,,Not yet rated,12,,,,,
13805,9700-1,Technic Control Centre,,Normal,Educational,Dacta,Technic,1987,View tags »Technic ,471,,"
New: 
Used: ~CA$126
",,,,,,,Not yet rated,4,,,,,
13806,970-1,Lighting Bricks,,Normal,Basic,Basic,Supplementaries,1978,View tags »4.5V ,17,$8.75,"
New: ~CA$76
Used: ~CA$13
",51.5c,,,,,,✭✭✭✭✩ 3.7 23 ratings 2 Reviews,,,,,,
13807,9701-1,Control Lab Building Set,,Normal,Educational,Dacta,Technic,1995,View tags »9VBaseplateElectricElectric MotorGreenhouseLight BrickSound BrickVending MachineWheelchair ,557,,"
New: ~CA$251
Used: ~CA$197
",,,Plastic box,,,,Not yet rated,,,,,,
13808,970-2,47 1/3 elements (plates),,Normal,Basic,System,Supplemental,1969,View tags »,47,,"
New: ~CA$41
Used:
",,,,,,,Not yet rated,,,,,,
13809,9702-1,Control System Building Set,,Normal,Educational,Dacta,Technic,1993,View tags »9VBaseplateDinosaurElectricElectric MotorLight BrickSound BrickTechnic ,221,,"
New: 
Used: ~CA$287
",,,Plastic box,,,,Not yet rated,2,,,,,
13810,9707-1,Intelligent House,,Normal,Educational,Dacta,System,1996,View tags »,155,,"
New: 
Used:
",,7 - 14,,,,,Not yet rated,,,,,,NA: 2301109
13811,9709-1,RCX Programmable LEGO Brick,,Normal,Technical,Mindstorms,1.0,1999,View tags »9VElectricRcx ,1,$110.00,"
New: ~CA$63
Used: ~CA$13
",11000.0c,,,,,, 1 Review,,,,,,
13812,971-1,52 flat tile bricks,,Normal,Basic,System,Supplemental,1969,View tags »,52,,"
New: 
Used:
",,,,,,,Not yet rated,,,,,,
13813,9713-1,Infrared Transmission Tower,,Normal,Technical,Mindstorms,1.0,1998,View tags »Electric ,2,$25.00,"
New: ~CA$9
Used: ~CA$4
",1250.0c,,,,,,Not yet rated,,,,,,
13814,9719-1,Robotics Invention System,,Normal,Technical,Mindstorms,1.0,1998,View tags »9VCd RomElectricElectric MotorPlaymatRcxRobotSensor ,733,$200.00,"
New: ~CA$291
Used: ~CA$111
",27.3c,12+,Box,,Retail,Version 1.0.,Not yet rated,,,UPC: 042884097196EAN: 5702010997190,,,
13815,9723-1,Cities & Transportation,,Normal,Educational,Education,,2000,View tags »9VElectricElectric MotorLight BrickMindstormsOctanRoad Baseplate ,388,$110.00,"
New: ~CA$106
Used: ~CA$115
",28.4c,,,,,,Not yet rated,,,,,,
13816,9725-1,Amusement Park Set,,Normal,Educational,Dacta,,1998,View tags »9VBaseplateElectricElectric MotorFairgroundMindstorms ,301,$100.00,"
New: ~CA$144
Used: ~CA$148
",33.2c,9+,,,,,Not yet rated,5,,,,,
13817,9730-1,Robo Sports,,Normal,Technical,Mindstorms,1.0,1998,View tags »9VCd RomElectricElectric MotorPlaymatSportsTracked Vehicle ,91,$50.00,"
New: ~CA$43
Used: ~CA$38
",54.9c,,Box,,Retail,Add-on set for Mindstorms.Random set of the day on 10 Aug 2020,Not yet rated,,,,,,
13818,9731-1,Vision Command,,Normal,Technical,Mindstorms,1.5,2000,View tags »CameraCd RomElectricUsb ,138,$100.00,"
New: ~CA$32
Used: ~CA$37
",72.5c,,Box,,Retail,Set includes digital colour camera., 1 Review,,,,,,
13819,9732-1,Extreme Creatures,,Normal,Technical,Mindstorms,1.0,1998,View tags »9VCd RomElectricFibre Optics ,148,$50.00,"
New: ~CA$51
Used:
",33.8c,,Box,,Retail,Add-on set for Mindstorms.,Not yet rated,,,,,,
13820,9735-1,Robotics Discovery Set,,Normal,Technical,Mindstorms,1.0,1999,View tags »9VElectricElectric MotorMultibuildRobotScout Control BrickSensor ,390,$150.00,"
New: ~CA$190
Used: ~CA$183
",38.5c,,,,,, 1 Review,,,,,,
13821,9736-1,Exploration Mars,,Normal,Technical,Mindstorms,1.5,2000,View tags »9VCd RomElectricMars ,155,$50.00,"
New: ~CA$61
Used: ~CA$67
",32.3c,,Box,,Retail,Add-on set for Mindstorms.Random set of the day on 05 Jun 2020, 1 Review,,,,,,
13822,9738-1,RCX Remote Control Unit,,Normal,Technical,Mindstorms,1.0,1999,View tags »ElectricRemote Control ,1,$19.75,"
New: ~CA$27
Used: ~CA$9
",1975.0c,,,,,, 1 Review,,,,,,
13823,9743-1,Chromosomes - Student Set,,Normal,Educational,Education,System,2003,View tags »,136,,"
New: 
Used:
",,,Plastic box,,,,Not yet rated,,,,,,
13824,9747-1,Robotics Invention System,,Normal,Technical,Mindstorms,1.5,1999,View tags »9VCd RomElectricElectric MotorMultibuildPlaymatRcxRobotSensor ,726,$200.00,"
New: ~CA$162
Used: ~CA$124
",27.5c,,,,,Version 1.5.Random set of the day on 20 Dec 2018,Not yet rated,,,EAN: 5702012007231,,,
13825,9748-1,Droid Developer Kit,,Normal,Technical,Mindstorms,Star Wars,1999,View tags »Cd RomDroidElectricElectric MotorMicro Scout Control BrickMultibuildSensorStar Wars ,657,$100.00,"
New: ~CA$152
Used: ~CA$117
",15.2c,,,,,,✭✭✭✭✩ 3.9 42 ratings 2 Reviews,,,EAN: 5702012004544,,,
13826,9749-1,NXT Temperature Sensor,,Normal,Technical,Mindstorms,NXT,2009,View tags »ElectricSensor ,1,,"
New: ~CA$44
Used: ~CA$53
",,,,,,,Not yet rated,,,,,,
13827,9751-1,Control Lab Serial Interface & Adapter,,Normal,Educational,Dacta,Technic,1995,View tags »Electric ,2,,"
New: ~CA$123
Used: ~CA$79
",,,Box,,,,Not yet rated,,,,,,
13828,9752-1,Control Centre (9V),Technic Control Center Ii,Normal,Educational,Dacta,Technic,1996,View tags »,15,,"
New: ~CA$110
Used: ~CA$36
",,7 - 15,,,Educational,,Not yet rated,,,,,,
13829,9754-1,Dark Side Developer Kit,,Normal,Technical,Mindstorms,Star Wars,2000,View tags »DroidElectricElectric MotorGalactic EmpireMicro Scout Control BrickMultibuildSensorStar WarsStarfighterTechnicTrade FederationWalker ,578,$100.00,"
New: ~CA$191
Used: ~CA$122
",17.3c,9+,Box,47.7 x 28.6 x 7 cm (18.8 x 11.3 x 2.8 in),Retail,, 4 Reviews,,,EAN: 5702012009556,,,
13830,9755-1,Temperature Sensor,,Normal,Technical,Mindstorms,1.0,1999,View tags »9VElectricPolybagSensor ,1,$24.00,"
New: ~CA$6
Used: ~CA$17
",2400.0c,,Polybag,,LEGO exclusive,,Not yet rated,,,,,,
13831,9756-1,Rotation Sensor,,Normal,Technical,Mindstorms,1.0,1999,View tags »9VElectricSensor ,1,$15.00,"
New: ~CA$17
Used: ~CA$5
",1500.0c,,,,,,Not yet rated,,,,,,
13832,9757-1,Touch Sensor,,Normal,Technical,Mindstorms,1.0,1999,View tags »9VElectricSensor ,2,$11.00,"
New: ~CA$10
Used: ~CA$9
",550.0c,,,,,,Not yet rated,,,,,,
13833,9758-1,Light Sensor,,Normal,Technical,Mindstorms,1.0,1999,View tags »9VElectricSensor ,1,$19.75,"
New: ~CA$3
Used: ~CA$6
",1975.0c,,,,,Available from Shop At Home 05/2004., 1 Review,,,,,,
13834,9761-1,FIRST LEGO League Challenge 2004 - No Limits,,Normal,Educational,Education,FIRST LEGO League,2004,View tags »,1436,,"
New: 
Used:
",,,,,,,Not yet rated,,,,,,
13835,9762-1,FIRST LEGO League Challenge 2005 - Ocean Odyssey,,Normal,Educational,Education,FIRST LEGO League,2005,View tags »,1470,,"
New: 
Used:
",,,,,,,Not yet rated,,,,,,
13836,9763-1,FIRST LEGO League Challenge 2006 - Nano Quest,,Normal,Educational,Education,FIRST LEGO League,2006,View tags »,1514,,"
New: 
Used:
",,9+,,,,,Not yet rated,2,,,,,NA: 4287924
13837,9764-1,FIRST LEGO League Challenge 2007 - Power Puzzle,,Normal,Educational,Education,FIRST LEGO League,2007,View tags »,1563,,"
New: ~CA$233
Used:
",,,,,,,Not yet rated,1,,,,,
13838,9780-1,ROBOLAB Starter Building Set,,Normal,Educational,Education,,1998,View tags »9VElectricElectric MotorLight BrickMicromotor ,1615,,"
New: 
Used:
",,,,,,,Not yet rated,,,,,,
13839,9783-1,Infrared Transmitter with USB Cable,,Normal,Educational,Education,,2001,View tags »Electric ,2,£26.41 / $30.00,"
New: 
Used: ~CA$25
",1320.5p / 1500.0c,,,,,Year of release yet to be confirmed.,Not yet rated,,,,,,
13840,9784-1,FIRST LEGO League Challenge 2001 - Arctic Impact,,Normal,Educational,Education,FIRST LEGO League,2001,View tags »Polar Bear ,1368,,"
New: 
Used:
",,,,,,,Not yet rated,,,,,,
13841,9785-1,Robo Technology Set with Serial Transmitter,,Normal,Educational,Education,,2002,View tags »9VElectricElectric MotorLight BrickMindstormsRcx ,219,£127.87 / $150.00,"
New: ~CA$119
Used: ~CA$144
",58.4p / 68.5c,,,,,,Not yet rated,,,,,,
13842,9786-1,Robo Technology Set with USB Transmitter,,Normal,Educational,Education,,2002,View tags »9VElectricElectric MotorLight BrickMindstormsRcxUsb ,217,£127.87 / $150.00,"
New: 
Used: ~CA$171
",58.9p / 69.1c,,,,,,Not yet rated,,,,,,
13843,9788-1,FIRST LEGO League Challenge 2003 - Mission Mars,,Normal,Educational,Education,FIRST LEGO League,2003,View tags »,1274,,"
New: 
Used:
",,,,,,,Not yet rated,,,,,,
13844,9789-2,FIRST LEGO League Challenge 2002 - City Sights,,Normal,Educational,Education,FIRST LEGO League,2002,View tags »,1020,,"
New: 
Used:
",,,,,,,Not yet rated,,,,,,
13845,9793-1,Team Challenge Set with Serial Transmitter,,Normal,Educational,Education,,2003,View tags »9VElectricElectric MotorLight BrickMindstormsRcx ,833,£216.88 / $200.00,"
New: ~CA$228
Used: ~CA$171
",26.0p / 24.0c,,,,,,Not yet rated,,,,,,
13846,9794-1,Team Challenge Set with USB Transmitter,,Normal,Educational,Education,,2003,View tags »9VElectricElectric MotorLight BrickMindstormsRcxUsb ,831,£216.88 / $200.00,"
New: ~CA$286
Used: ~CA$147
",26.1p / 24.1c,,,,,,Not yet rated,,,,,,
13847,9795-1,Intelligent House Set,,Normal,Educational,Education,,2001,View tags »9VElectricElectric MotorLight BrickMicromotorMindstorms ,156,£98.47 / $105.00,"
New: 
Used:
",63.1p / 67.3c,,,,,,Not yet rated,,,,,,
13848,9797-1,Mindstorms Education Base Set,,Normal,Educational,Education,,2007,View tags »9VElectricElectric MotorLight BrickMindstormsPower AdapterUsb ,431,$250.00,"
New: ~CA$572
Used: ~CA$127
",58.0c,,,,,, 2 Reviews,,3.12Kg (6.87 lb),UPC: 673419193085,,,
13849,9798-1,Rechargeable Battery,,Normal,Technical,Mindstorms,NXT,2006,View tags »Electric ,1,£31.99 / $54.99,"
New: ~CA$88
Used: ~CA$60
",3199.0p / 5499.0c,,,,,,Not yet rated,,,,,,
13850,9799-1,Vernier NXT Sensor Adaptor,,Normal,Educational,Education,,2008,View tags »Electric ,1,,"
New: ~CA$36
Used:
",,,,,,,Not yet rated,,0.06Kg (0.13 lb),EAN: 5702014518827,,,
13851,980-1,"23 sloping bricks, including roof peak bricks, Red",,Normal,Basic,System,Supplemental,1969,View tags »,23,,"
New: 
Used: ~CA$8
",,,,,,,Not yet rated,,,,,,
13852,980-2,"23 sloping bricks, including roof peak bricks, Blue",,Normal,Basic,System,Supplemental,1969,View tags »,23,,"
New: ~CA$21
Used:
",,,,,,,Not yet rated,,,,,,
13853,981-1,"34 sloping profile bricks, including profile peak bricks, Red",,Normal,Basic,System,Supplemental,1969,View tags »,39,,"
New: 
Used:
",,,,,,,Not yet rated,,,,,,
13854,981-2,"34 sloping profile bricks, including profile peak bricks, Blue",,Normal,Basic,System,Supplemental,1969,View tags »,39,,"
New: 
Used:
",,,,,,,Not yet rated,,,,,,
13855,9833-1,Transformer 9 V,,Normal,Educational,Dacta,,1996,View tags »9VElectricPower Adapter ,1,£13.99 / $23.99,"
New: ~CA$21
Used: ~CA$21
",1399.0p / 2399.0c,,,,,,Not yet rated,,,,,,
13856,9833-2,Transformer,,Normal,Technical,Mindstorms,NXT,2006,View tags »ElectricPower Adapter ,1,£13.99 / $23.99,"
New: ~CA$25
Used: ~CA$18
",1399.0p / 2399.0c,,,,,Originally released in 1996.,Not yet rated,,,,,,
13857,9840-1,Storage Solution (6 Pack),,Normal,Educational,Education,Storage,2006,View tags »Storage ,12,,"
New: 
Used:
",,,,,,Lids included.,Not yet rated,,0.85Kg (1.87 lb),EAN: 5802014467996,,,
13858,9841-1,NXT Intelligent Brick,,Normal,Technical,Mindstorms,NXT,2006,View tags »Electric ,1,£139.99 / $169.99 / 179.99€,"
New: ~CA$91
Used: ~CA$49
",13999.0p / 16999.0c / 17999.0c,,,,,, 1 Review,,,,,,
13859,9842-1,Interactive Servo Motor,,Normal,Technical,Mindstorms,NXT,2006,View tags »ElectricElectric MotorSensor ,1,£21.49 / $24.99 / 24.99€,"
New: ~CA$16
Used: ~CA$14
",2149.0p / 2499.0c / 2499.0c,,,,,, 2 Reviews,,0.08Kg (0.18 lb),EAN: 5702014496194,,,
13860,9843-1,Touch Sensor,,Normal,Technical,Mindstorms,NXT,2006,View tags »ElectricSensor ,1,£15.49 / $24.99 / 17.99€,"
New: ~CA$15
Used: ~CA$5
",1549.0p / 2499.0c / 1799.0c,,,,,,Not yet rated,,0.02Kg (0.04 lb),UPC: 673419204736EAN: 5702014496200,,,
13861,9844-1,Light Sensor,,Normal,Technical,Mindstorms,NXT,2006,View tags »ElectricSensor ,1,£15.49 / $24.99 / 17.99€,"
New: ~CA$22
Used: ~CA$14
",1549.0p / 2499.0c / 1799.0c,,,,,,Not yet rated,,0.01Kg (0.02 lb),EAN: 5702014496217,,,
13862,9845-1,Sound Sensor,,Normal,Technical,Mindstorms,NXT,2006,View tags »,1,£22.49 / $34.99 / 25.99€,"
New: ~CA$31
Used: ~CA$35
",2249.0p / 3499.0c / 2599.0c,,,,,,Not yet rated,,0.02Kg (0.04 lb),EAN: 5702014496224,,,
