,set number,name,theme,subtheme,year,availability,pieces,retail price,value,growth,annual growth
1709,211902-1,Robin,DC Comics Super Heroes,Magazine Gift,2019,Retired,,Included with magazine,C$6.59,,+2.94%
1710,211903-1,Superman,DC Comics Super Heroes,Magazine Gift,2019,Retired,,Included with magazine,C$5.00,,+7.15%
1711,211904-1,The Flash,DC Comics Super Heroes,Magazine Gift,2019,Retired,6,Included with magazine,C$6.06,,+10.15%
1712,211905-1,Joker,DC Comics Super Heroes,Magazine Gift,2019,Retired,,Included with magazine,C$6.42,,+0.37%
1713,211906-1,Batman,DC Comics Super Heroes,Magazine Gift,2019,Retired,,Included with magazine,C$6.22,,+6.15%
1714,21-2,Truck,Minitalia,,1971,Retired,33,,C$115.92,,
1715,21200-1,Life Of George 1,Exclusive,Phone Games,2011,Retired,146  (PPP C$0.26),C$34.99,C$56.94,+48.45%,+4.93%
1716,212007-1,Mr. Freeze,DC Comics Super Heroes,Magazine Gift,2020,Retired,17,Included with magazine,C$5.97,,+5.15%
1717,212008-1,Batman,DC Comics Super Heroes,Magazine Gift,2020,Retired,,Included with magazine,C$5.45,,+5.15%
1718,212009-1,The Riddler,DC Comics Super Heroes,Magazine Gift,2020,Retired,,Included with magazine,C$5.04,,+9.15%
1719,212010-1,Batman,DC Comics Super Heroes,Magazine Gift,2020,Retired,,Included with magazine,C$4.83,,+10.15%
1720,21201-1,Life Of George 2,Exclusive,Phone Games,2012,Retired,146  (PPP C$0.26),C$34.99,C$42.49,+10.77%,+2.89%
1721,212011-1,The Joker,DC Comics Super Heroes,Magazine Gift,2020,Retired,,Included with magazine,C$5.10,,+1.15%
1722,212012-1,Shazam!,DC Comics Super Heroes,Magazine Gift,2020,Retired,3,Included with magazine,C$9.62,,
1723,21204-1,Town Master,Fusion,,2014,Retired,256  (PPP C$0.10),C$25.57,C$60.00,+134.67%,+7.67%
1724,21205-1,Battle Towers,Fusion,,2014,Retired,212  (PPP C$0.12),C$25.57,C$32.92,+28.76%,+3.51%
1725,21206-1,Create and Race,Fusion,,2014,Retired,223  (PPP C$0.20),C$44.75,C$69.76,+55.87%,+5.00%
1726,21208-1,Resort Designer,Fusion,,2014,Retired,263  (PPP C$0.10),C$25.57,C$57.57,+125.16%,+16.20%
1727,212-1,Small House Left Set,Classic,Town Plan,1958,Retired,,C$2.88,Unknown,,
1728,2121-1,Stomper,Basic,FreeStyle,1997,Retired,11,Free promotional,C$5.36,,+6.44%
1729,212-2,Scooter,Building Set with People,,1976,Retired,23  (PPP C$0.19),C$4.46,C$71.37,+1498.85%,+6.51%
1730,2122-1,Bob,Basic,FreeStyle,1997,Retired,14,Free promotional,C$61.00,,+12.64%
1731,2123-1,Spinner,Basic,FreeStyle,1997,Retired,12,Free promotional,C$69.63,,+16.06%
1732,2124-1,Green Bucket,Duplo,Building Sets,1997,Retired,39  (PPP C$0.26),C$10.22,Unknown,,
1733,2125-1,Large Bucket,Duplo,Building Sets,1997,Retired,70  (PPP C$0.24),C$16.61,C$71.33,+329.33%,+6.54%
1734,2126-1,Train Cars,Trains,9V,1997,Retired,378  (PPP C$0.24),C$88.89,C$366.22,+311.99%,+5.58%
1735,2127-1,Nanas,Basic,,1997,Retired,13,Free promotional,C$4.40,,+4.68%
1736,2129-1,Blast-Off Dragster,Technic,,1997,Retired,63  (PPP C$0.14),C$8.94,C$31.91,+256.94%,+5.39%
1737,2130-1,Duck,Basic,FreeStyle,1998,Retired,7,Free promotional,C$7.85,,+6.53%
1738,21301-1,Birds,Ideas,Scientific,2015,Retired,580  (PPP C$0.10),C$59.99,C$104.75,+82.04%,+9.42%
1739,21302-1,The Big Bang Theory,Ideas,Licensed,2015,Retired,484  (PPP C$0.16),C$69.99,C$191.90,+150.11%,+26.22%
1740,21303-1,WALL-E,Ideas,Licensed,2015,Retired,677  (PPP C$0.11),C$69.99,C$240.41,+213.34%,+22.63%
1741,21304-1,Doctor Who,Ideas,Licensed,2015,Retired,623  (PPP C$0.12),C$69.99,C$130.14,+69.61%,+14.09%
1742,21305-1,Maze,Ideas,,2016,Retired,769  (PPP C$0.12),C$89.99,C$204.63,+128.59%,+14.70%
1743,21306-1,The Beatles Yellow Submarine,Ideas,Licensed,2016,Retired,550  (PPP C$0.14),C$69.99,C$170.26,+121.90%,+32.40%
1744,21307-1,Caterham Seven 620R,Ideas,Licensed,2016,Retired,771  (PPP C$0.13),C$102.31,C$126.86,+24.00%,+5.33%
1745,21308-1,Adventure Time,Ideas,Licensed,2017,Retired,495  (PPP C$0.13),C$64.99,C$57.54,,
1746,21309-1,NASA Apollo Saturn V,Ideas,Astronomy,2017,Retired,"1,969  (PPP C$0.08)",C$149.99,C$190.66,+24.24%,+25.42%
1747,213-1,Airplane Ride,Building Set with People,,1977,Retired,48  (PPP C$0.11),C$5.08,C$118.14,+2226.70%,+4.40%
1748,21310-1,Old Fishing Store,Ideas,,2017,Retired,"2,049  (PPP C$0.09)",C$179.99,C$486.15,+153.42%,+32.40%
1749,2131-1,Hippo,Basic,FreeStyle,1998,Retired,6,Free promotional,C$5.97,,+10.35%
1750,21311-1,Voltron,Ideas,,2018,Retired,"2,321  (PPP C$0.10)",C$229.99,C$307.20,+33.45%,+13.74%
1751,21312-1,Women of NASA,Ideas,Astronomy,2017,Retired,231  (PPP C$0.14),C$29.99,C$43.67,+36.61%,+23.99%
1752,21313-1,Ship in a Bottle,Ideas,,2018,Retired,962  (PPP C$0.09),C$89.99,C$113.83,+27.16%,+12.19%  (Short term)
1753,21314-1,TRON Legacy,Ideas,Licensed,2018,Retired,230  (PPP C$0.19),C$44.99,C$58.04,+29.69%,+12.07%
1754,21315-1,Pop-Up Book,Ideas,,2018,Retail,859  (PPP C$0.10),C$89.99,,,
1755,21316-1,The Flintstones,Ideas,Licensed,2019,Limited Retail,748  (PPP C$0.10),C$79.99,,,
1756,21317-1,Steamboat Willie,Ideas,Licensed,2019,Limited Retail,751  (PPP C$0.15),C$119.99,,,
1757,21318-1,Treehouse,Ideas,,2019,Limited Retail,"3,036  (PPP C$0.08)",C$269.99,,,
1758,21319-1,Central Perk,Ideas,Licensed,2019,Limited Retail,"1,070  (PPP C$0.07)",C$89.99,,,
1759,213-2,Small House Right Set,Classic,Town Plan,1958,Retired,,C$2.88,Unknown,,
1760,21320-1,Dinosaur Fossils,Ideas,,2019,Limited Retail,910  (PPP C$0.08),C$79.99,,,
1761,2132-1,Cow,Basic,FreeStyle,1998,Retired,10,Free promotional,C$6.48,,+3.46%
1762,21321-1,International Space Station,Ideas,,2020,Limited Retail,864  (PPP C$0.10),C$99.99,,,
1763,21322-1,Pirates of Barracuda Bay,Ideas,,2020,Limited Retail,"2,545  (PPP C$0.10)",C$259.99,,,
1764,21323-1,Grand Piano,Ideas,,2020,Limited Retail,"3,662  (PPP C$0.12)",C$447.64,,,
1765,21324-1,123 Sesame Street,Ideas,Licensed,2020,Limited Retail,"1,367  (PPP C$0.11)",C$149.99,,,
1766,2133-1,Bull,Basic,FreeStyle,1998,Retired,12,Free promotional,C$5.68,,+10.60%
1767,2134-1,Bison,Basic,FreeStyle,1998,Retired,10,Free promotional,C$6.97,,+7.39%
1768,2135-1,Aeroplane,Basic,FreeStyle,1997,Retired,9,Free promotional,C$11.49,,+13.45%
1769,2136-1,Aeroplane,Basic,FreeStyle,1997,Retired,11,Free promotional,C$11.31,,+12.69%
1770,2137-1,Swamp Boat,Basic,FreeStyle,1997,Retired,8,Free promotional,C$7.37,,+12.64%
1771,2138-1,Helicopter,Basic,FreeStyle,1997,Retired,8,Free promotional,C$10.24,,+11.78%
1772,2139-1,Boat,Basic,FreeStyle,1997,Retired,12,Free promotional,C$7.99,,+10.97%
1773,2140-1,Roadside Recovery Van and Tow Truck,Town,Promotional,1996,Retired,255,Free promotional,C$273.32,,+3.08%
1774,214-1,Road Repair Crew,Building Set with People,,1977,Retired,68  (PPP C$0.07),C$5.08,C$186.25,+3568.01%,+8.74%
1775,2141-1,Surge 2.0,HERO Factory,,2011,Retired,30  (PPP C$0.34),C$10.99,C$134.36,+1214.77%,+20.30%
1776,214-2,Red Windows and Doors,Classic,Supplemental,1958,Retired,10  (PPP C$0.06),C$0.64,Unknown,,
1777,2142-1,Breez 2.0,HERO Factory,,2011,Retired,29  (PPP C$0.35),C$10.99,C$95.91,+838.55%,+17.34%
1778,214-3,White Windows and Doors,Classic,Supplemental,1958,Retired,10  (PPP C$0.06),C$0.64,Unknown,,
1779,2143-1,Rocka 3.0,HERO Factory,,2011,Retired,30  (PPP C$0.34),C$10.99,C$54.98,+438.05%,+14.71%
1780,2144-1,Nex 3.0,HERO Factory,,2011,Retired,29  (PPP C$0.35),C$10.99,C$51.15,+400.50%,+14.33%
1781,2145-1,Stormer 3.0,HERO Factory,,2011,Retired,31  (PPP C$0.33),C$10.99,C$97.77,+856.70%,+20.56%
1782,2146-1,Sort and Store Suitcase,Freestyle,,1996,Retired,803,,C$305.82,,
1783,2147-1,Dragon Fly,Town,Promotional,1997,Retired,183  (PPP C$0.20),C$35.80,C$48.26,+34.80%,+4.42%
1784,2148-1,LEGO Truck,Town,Vehicles,1997,Retired,105  (PPP C$0.13),C$14.06,C$100.66,+616.11%,+9.65%
1785,2149-1,Color Line Container Lorry,Town,Promotional,1997,Retired,191,Free promotional,C$213.52,,+6.32%
1786,2150-1,Train Station,Trains,9V,1996,Retired,599  (PPP C$0.16),C$93.37,C$708.63,+658.97%,+15.52%
1787,215-1,Red Indians,Building Set with People,,1977,Retired,93  (PPP C$0.05),C$4.46,C$122.68,+2648.42%,+5.48%
1788,2151-1,Robo Raider,Space,RoboForce,1997,Retired,136  (PPP C$0.11),C$15.34,C$102.49,+568.31%,+6.43%
1789,215-2,2x8 Bricks,Classic,Supplemental,1958,Retired,6  (PPP C$0.11),C$0.64,Unknown,,
1790,2152-1,Robo Raptor,Space,RoboForce,1997,Retired,221  (PPP C$0.12),C$25.57,C$150.12,+487.14%,+6.58%
1791,215-3,2x8 Bricks,Samsonite,Supplemental,1961,Retired,9  (PPP C$0.07),C$0.64,C$257.37 Low accuracy,+40144.79%,
1792,2153-1,Robo Stalker,Space,RoboForce,1997,Retired,280  (PPP C$0.14),C$38.36,C$148.54,+287.26%,+2.97%
1793,2154-1,Robo Master,Space,RoboForce,1997,Retired,366  (PPP C$0.13),C$46.03,C$345.38,+650.32%,+4.85%
1794,2155-1,Water-Plane,Basic,,2000,Retired,18,Free promotional,C$35.06,,+9.87%
1795,2156-1,Racer,Basic,,2000,Retired,17,Free promotional,C$11.86,,+17.06%
1796,2157-1,Speed Boat,Basic,,2000,Retired,16,Free promotional,C$29.74,,+26.99%
1797,2158-1,Copter,Basic,,2000,Retired,10,Free promotional,C$19.86,,+29.40%
1798,2159-1,9V Train Track Starter Collection,Trains,9V,2006,Retired,24  (PPP C$1.60),C$38.36,C$84.20,+119.51%,+14.35%
1799,2160-1,Crystal Scavenger,Aquazone,Aquaraiders,1997,Retired,110  (PPP C$0.17),C$19.17,C$60.83,+217.28%,+5.15%
1800,216-1,2x10 Bricks,Classic,Supplemental,1958,Retired,5  (PPP C$0.13),C$0.64,Unknown,,
1801,2161-1,Aqua Dozer,Aquazone,Aquaraiders,1997,Retired,136  (PPP C$0.24),C$31.96,C$139.58,+336.69%,+6.62%
1802,2162-1,Hydro Reef Wrecker,Aquazone,Aquaraiders,1997,Retired,287  (PPP C$0.18),C$51.15,C$191.84,+275.07%,+5.92%
1803,2163-1,Toucan,Basic,FreeStyle,1997,Retired,9,Free promotional,C$3.24,,+5.31%
1804,2164-1,Whale,Basic,FreeStyle,1997,Retired,9,Free promotional,C$2.71,,+2.77%
1805,2165-1,Rhinocerous,Basic,FreeStyle,1997,Retired,10,Free promotional,C$3.89,,+9.63%
1806,2166-1,Elephant,Basic,FreeStyle,1997,Retired,10,Free promotional,C$6.93,,+13.93%
1807,2167-1,Penguin,Basic,FreeStyle,1997,Retired,8,Free promotional,C$10.33,,+8.16%
1808,2170-1,Cole DX,Ninjago,Spinners,2011,Retired,21  (PPP C$0.61),C$12.99,C$15.97,+25.03%,+2.12%
1809,217-1,Service Station,Building Set with People,,1977,Retired,228,,C$223.81,,
1810,2171-1,Zane DX,Ninjago,Spinners,2011,Retired,22  (PPP C$0.58),C$12.99,C$25.58,+100.20%,+6.98%
1811,217-2,4x4 Corner Bricks,Classic,Supplemental,1958,Retired,5  (PPP C$0.13),C$0.64,Unknown,,
1812,2172-1,Nya,Ninjago,Spinners,2011,Retired,21  (PPP C$0.61),C$12.99,C$36.82,+188.19%,+10.20%
1813,2173-1,Nuckal,Ninjago,Spinners,2011,Retired,26  (PPP C$0.49),C$12.99,C$66.48,+420.32%,+8.31%
1814,2174-1,Kruncha,Ninjago,Spinners,2011,Retired,24  (PPP C$0.53),C$12.99,C$16.60,+29.93%,+3.46%
1815,2175-1,Wyplash,Ninjago,Spinners,2011,Retired,23  (PPP C$0.56),C$12.99,C$15.99,+25.13%,+2.57%
1816,218-1,Firemen,Building Set with People,,1977,Retired,274,,C$484.27,,
1817,2181-1,Infomaniac,Town,Promotional,1997,Retired,4,Free promotional,C$70.69,,+9.12%
1818,218-2,2x4 Bricks,Classic,Supplemental,1958,Retired,13  (PPP C$0.05),C$0.64,Unknown,,
1819,2182-1,Bulk 3.0,HERO Factory,,2011,Retired,30  (PPP C$0.34),C$10.99,C$74.46,+628.66%,+18.38%
1820,2183-1,Stringer 3.0,HERO Factory,,2011,Retired,30  (PPP C$0.34),C$10.99,C$66.69,+552.57%,+16.35%
1821,2186-1,Freestyle Set,Freestyle,,1997,Retired,73,,C$52.43,,
1822,2187-1,Freestyle Set,Freestyle,,1997,Retired,60,,C$11.11,,
1823,2188-1,Freestyle Set,Freestyle,,1997,Retired,56  (PPP C$0.08),C$4.46,C$26.17,+486.25%,+8.00%
1824,2189-1,Pony Set,Duplo,,1997,Retired,3,,C$8.95,,
1825,219-1,2x3 Bricks,Classic,Supplemental,1958,Retired,,C$0.64,Unknown,,
1826,2191-1,Furno 3.0,HERO Factory,,2011,Retired,28  (PPP C$0.36),C$10.99,C$77.10,+654.44%,+13.39%
1827,2192-1,Drilldozer,HERO Factory,,2011,Retired,61  (PPP C$0.27),C$17.99,C$95.91,+477.29%,+11.37%
1828,2193-1,Jetbug,HERO Factory,,2011,Retired,63  (PPP C$0.26),C$17.99,C$206.32,+1141.80%,+22.53%
1829,2194-1,Nitroblast,HERO Factory,,2011,Retired,57  (PPP C$0.29),C$17.99,C$105.18,+533.10%,+17.64%
1830,2198-1,Building Plates,Duplo,Building Sets,1998,Retired,3  (PPP C$2.98),C$9.99,C$23.47,+162.52%,+7.33%
1831,2199-1,Large Bulk Bucket,Basic,,1997,Retired,466  (PPP C$0.04),C$16.61,C$70.73,+325.71%,+19.08%
1832,220-1,2x2 Bricks,Classic,Supplemental,1958,Retired,,C$0.64,C$31.03,+4752.00%,+5.28%
1833,22-1,Car,Minitalia,,1971,Retired,47,,C$321.86,,
1834,221-2,1x2 Bricks,Classic,Supplemental,1958,Retired,,C$0.64,C$14.13,+2110.00%,+3.95%
1835,2220-1,Build 'n' Play Fire Theme,Duplo,,1996,Retired,54,,C$131.39,,
1836,2221-1,Build 'n' Play Circus Theme,Duplo,,1996,Retired,81,,C$137.25,,
1837,222-2,1x1 Bricks,Classic,Supplemental,1958,Retired,,,Unknown,,
1838,2222-1,Tunnel Fun,Duplo,,1998,Retired,33  (PPP C$0.70),C$23.01,C$63.95,+177.93%,+4.76%
1839,2223-1,Spooky House,Duplo,,1998,Retired,39  (PPP C$0.79),C$30.68,Unknown,,
1840,2224-1,Duplo Tub,Duplo,,1998,Retired,118,,Unknown,,
1841,2225-1,Heavy Loader,Duplo,,2000,Retired,70  (PPP C$0.46),C$31.96,C$36.58,+14.45%,+0.68%
1842,2226-1,Duplo Bucket,Duplo,Building Sets,1998,Retired,50  (PPP C$0.15),C$7.66,C$32.97,+330.38%,+6.86%
1843,2229-1,Basic Building Set,Basic,,1999,Retired,201  (PPP C$0.10),C$19.17,C$28.20,+47.10%,+1.86%
1844,2230-1,Helicopter and Raft,City,Airport,2008,Retired,115  (PPP C$0.22),C$25.57,C$48.87,+91.15%,+5.84%
1845,223-1,Adventure Set,Samsonite,Basic Set,1968,Retired,223  (PPP C$0.03),C$6.38,C$302.29,+4636.47%,+7.71%
1846,2231-1,Waspix,HERO Factory,,2011,Retired,48  (PPP C$0.35),C$17.99,C$126.62,+662.12%,+18.11%
1847,223-2,1x1 Round Bricks,Classic,Supplemental,1958,Retired,,,Unknown,,
1848,2232-1,Raw-Jaw,HERO Factory,,2011,Retired,52  (PPP C$0.32),C$17.99,C$74.80,+350.19%,+9.94%
1849,2233-1,Fangz,HERO Factory,,2011,Retired,55  (PPP C$0.30),C$17.99,C$57.87,+248.34%,+8.65%
1850,2234-1,Police Chase,Town,Promotional,1998,Retired,146,Free promotional,C$186.11,,+5.26%
1851,2235-1,Fire Lord,HERO Factory,,2011,Retired,125  (PPP C$0.20),C$24.99,C$63.95,+150.13%,+6.29%
1852,2236-1,Scorpio,HERO Factory,,2011,Retired,104  (PPP C$0.31),C$29.99,C$117.57,+267.83%,+14.49%
1853,224-1,2x2 & 2x4 Curved Bricks,Classic,Supplemental,1956,Retired,,C$0.64,Unknown,,
1854,2241-1,Basic Set,Duplo,,1997,Retired,32,,Unknown,,
1855,2262-1,Basic Set,Duplo,,1997,Retired,20,,Unknown,,
1856,2242-1,Extra Bricks Small,Duplo,,1997,Retired,50,,C$26.18,,
1857,224-3,2x2 Curved Bricks,Classic,Supplemental,1958,Retired,,C$0.64,Unknown,,
1858,2245-1,Farmhouse Bucket,Duplo,Building Sets,1997,Retired,46  (PPP C$0.28),C$12.78,Unknown,,
1859,2247-1,Extra Bricks Medium,Duplo,,1997,Retired,99,,C$43.58,,
1860,2250-1,Advent Calendar,Basic,Seasonal,2000,Retired,240  (PPP C$0.11),C$25.57,C$53.68,+109.95%,+7.39%
1861,225-1,1x6 and 1x8 Bricks,Classic,Supplemental,1957,Retired,,C$0.64,Unknown,,
1862,2251-1,Horse 'n' Home,Duplo,,1997,Retired,72,,Unknown,,
1863,2252-1,Basic Cannister Set,Duplo,,1997,Retired,36,,Unknown,,
1864,2254-1,Mountain Shrine,Ninjago,Pilot Season,2011,Retired,169  (PPP C$0.15),C$24.99,C$75.73,+196.20%,+8.92%
1865,2255-1,Sensei Wu,Ninjago,Spinners,2011,Retired,20  (PPP C$0.64),C$12.99,C$23.28,+82.18%,+4.79%
1866,2256-1,Lord Garmadon,Ninjago,Spinners,2011,Retired,23  (PPP C$0.56),C$12.99,C$26.67,+108.71%,+7.52%
1867,2257-1,Spinjitzu Starter Set,Ninjago,Spinners,2011,Retired,57  (PPP C$0.45),C$24.99,C$28.25,+10.51%,+1.15%
1868,2258-1,Ninja Ambush,Ninjago,Pilot Season,2011,Retired,71  (PPP C$0.13),C$9.99,C$28.27,+216.17%,+8.82%
1869,2259-1,Skull Motorbike,Ninjago,Pilot Season,2011,Retired,157  (PPP C$0.12),C$19.99,C$70.55,+267.98%,+9.31%
1870,2260-1,Ice Dragon Attack,Ninjago,Pilot Season,2011,Retired,158  (PPP C$0.16),C$24.99,C$151.37,+492.05%,+14.53%
1871,226-1,8 Named Beams,Classic,Supplemental,1958,Retired,,C$0.64,Unknown,,
1872,2261-1,Happy Gardener,Duplo,,1997,Retired,10  (PPP C$0.51),C$5.10,C$23.20,+354.64%,+6.81%
1873,2263-1,Turbo Shredder,Ninjago,Pilot Season,2011,Retired,298  (PPP C$0.13),C$39.99,C$102.31,+166.72%,+8.14%
1874,2264-1,Medium Bucket,Duplo,Building Sets,1997,Retired,48  (PPP C$0.27),C$12.78,Unknown,,
1875,2265-1,Large Puppy Clearpack,Duplo,,1997,Retired,71,,Unknown,,
1876,2266-1,Extra Large Value Bucket,Duplo,Building Sets,1997,Retired,91  (PPP C$0.28),C$25.57,Unknown,,
1877,2268-1,Katie Cat Bucket,Duplo,Building Sets,1998,Retired,49  (PPP C$0.16),C$7.66,Unknown,,
1878,2269-1,Build a Zoo,Duplo,,1998,Retired,89,,Unknown,,
1879,2270-1,Spotty Dog Set,Duplo,,1998,Retired,6,,Unknown,,
1880,227-1,4x8 Curved & 2x8 Plates,Classic,Supplemental,1958,Retired,,C$0.64,Unknown,,
1881,2271-1,Boy with Barrow,Duplo,,1998,Retired,4,,Unknown,,
1882,2277-1,Boy with Cat,Duplo,,1998,Retired,8,,C$35.22,,
1883,2279-1,Tubular Motion,Duplo,Basic Set,1998,Retired,73,,Unknown,,
1884,2280-1,Brick Runner,Duplo,,1999,Retired,30  (PPP C$0.64),C$19.17,Unknown,,
1885,228-1,4x8 & 2x8 Plates,Classic,Supplemental,1958,Retired,,C$0.64,Unknown,,
1886,2281-1,Maxi Brick Runner,Duplo,,1999,Retired,47  (PPP C$0.82),C$38.36,C$135.78,+253.98%,+6.21%
1887,2282-1,Rocka XL,HERO Factory,,2011,Retired,174  (PPP C$0.18),C$29.99,C$163.99,+413.09%,+14.15%
1888,2283-1,Witch Doctor,HERO Factory,,2011,Retired,331  (PPP C$0.12),C$39.99,C$245.67,+540.48%,+15.73%
1889,2284-1,Clown Go Round,Duplo,,1999,Retired,14  (PPP C$0.55),C$7.66,C$42.58,+455.76%,+8.52%
1890,229-1,6x8 & 2x8 Plates,Classic,Supplemental,1958,Retired,,,Unknown,,
1891,2294-1,Ladybug,Duplo,,1999,Retired,9  (PPP C$0.42),C$3.82,C$7.11,+85.95%,+3.00%
1892,2297-1,Cute Building Animals,Duplo,,2000,Retired,11  (PPP C$0.81),C$8.94,Unknown,,
1893,2299-1,Pingo,Duplo,,1999,Retired,11  (PPP C$0.35),C$3.82,Unknown,,
1894,2300-1,Small Bucket Green,Duplo,Building Sets,1999,Retired,48  (PPP C$0.19),C$8.94,Unknown,,
1895,230-1,Hairdressing Salon,Homemaker,Rooms,1978,Retired,215  (PPP C$0.03),C$5.74,C$293.04,+5002.90%,+9.82%
1896,2301-1,Red Base Plates,Duplo,,1985,Retired,2  (PPP C$3.19),C$6.38,C$23.44,+267.33%,+3.79%
1897,230-2,Six Trees and Bushes,Classic,Supplemental,1958,Retired,,C$0.64,Unknown,,
1898,2302-1,Building Plate Red,Duplo,Building Sets,1982,Retired,1,,Unknown,,
1899,2303-1,Red and Green Building Plates,Duplo,Building Sets,1991,Retired,2  (PPP C$3.51),C$7.02,C$22.96,+226.96%,+10.91%
1900,2304-1,Large Building Plate,Duplo,Building Sets,1992,Retired,1  (PPP C$19.17),C$19.99,C$20.04,+4.54%,+2.01%
1901,2305-1,Red Base Plate,Duplo,,1984,Retired,1  (PPP C$12.78),C$12.78,Unknown,,
1902,2306-1,Large Red Building Plate,Duplo,Building Sets,1991,Retired,1  (PPP C$15.34),C$15.34,C$29.90,+95.00%,+2.33%
1903,2307-1,Supplementary Set,Duplo,Supplementary,1984,Retired,18  (PPP C$0.71),C$12.78,C$19.34,+51.35%,+1.16%
1904,2309-1,Supplementary Set,Duplo,Supplementary,1984,Retired,25  (PPP C$0.66),C$16.61,C$43.81,+163.66%,+2.73%
1905,23-1,Delivery Truck,Minitalia,,1971,Retired,64,,C$414.47,,
1906,2310-1,Supplementary Bricks,Duplo,Supplementary,1987,Retired,28  (PPP C$0.59),C$16.61,C$67.01,+303.31%,+4.32%
1907,231-1,Hospital,Homemaker,Rooms,1978,Retired,379  (PPP C$0.03),C$11.50,"C$1,167.15",+10050.72%,+11.64%
1908,2311-1,Clown,Duplo,,1993,Retired,16,,Unknown,,
1909,231-2,Esso Pumps and Sign,Classic,Supplemental,1956,Retired,,C$0.64,C$341.84,+53354.00%,+9.13%
1910,2312-1,Supplementary Bricks,Duplo,Supplementary,1987,Retired,39  (PPP C$0.52),C$20.45,C$70.00,+242.28%,+3.80%
1911,2313-1,Building Set,Duplo,Building Sets,1991,Retired,29,,Unknown,,
1912,2314-1,Building Set,Duplo,Building Sets,1991,Retired,38  (PPP C$0.49),C$18.55,Unknown,,
1913,2315-1,Pre-School Basic Building Set,Duplo,Building Sets,1985,Retired,6,,Unknown,,
1914,2317-1,Police Building Set,Duplo,Building Sets,1994,Retired,11,,Unknown,,
1915,2318-1,Pull Back Motor,Duplo,,1991,Retired,1,,C$17.11,,
1916,232-1,Bungalow,Homemaker,Rooms,1978,Retired,445  (PPP C$0.03),C$15.34,C$615.58,+3914.18%,+9.20%
1917,2321-1,Happy Birthday Building Set,Duplo,Building Sets,1996,Retired,32  (PPP C$0.32),C$10.22,C$44.24,+332.92%,+6.30%
1918,232-2,16 Road Signs,Classic,Supplemental,1958,Retired,,C$0.64,Unknown,,
1919,2326-1,Green Elephant Bucket XL,Duplo,Building Sets,1995,Retired,,,Unknown,,
1920,2327-1,Supplementary Set,Duplo,Supplementary,1994,Retired,19  (PPP C$0.87),C$16.61,C$57.09,+243.65%,+4.87%
1921,2330-1,Basic Set,Duplo,,1981,Retired,9,,Unknown,,
1922,233-1,Light Masts,Classic,Supplemental,1958,Retired,,C$0.64,Unknown,,
1923,2331-1,Barney The Skateboard Bear,Duplo,,1991,Retired,8  (PPP C$0.80),C$6.38,C$44.60,+598.80%,+6.94%
1924,2332-1,DUPLO Bucket XL Elephants,Duplo,Building Sets,2000,Retired,88  (PPP C$0.29),C$25.57,Unknown,,
1925,2333-1,Basic Set Animal,Duplo,,1987,Retired,12,,C$27.49,,
1926,2335-1,Basic Set Animal,Duplo,,1984,Retired,9,,C$12.79,,
1927,2337-1,Rover's Building Set,Duplo,Building Sets,1994,Retired,32,,Unknown,,
1928,2338-1,Kitty Cat's Building Set,Duplo,Building Sets,1995,Retired,36,,Unknown,,
1929,2339-1,Basic Box,Duplo,Building Sets,1996,Retired,49  (PPP C$0.26),C$12.78,Unknown,,
1930,234-1,Letter Bricks,Classic,Supplemental,1958,Retired,,C$0.64,Unknown,,
1931,2341-1,Peter's Holiday Building Set,Duplo,Building Sets,1991,Retired,17,,C$28.60,,
1932,2344-1,Basic Set Circus,Duplo,,1987,Retired,19,,C$66.51,,
1933,2345-1,Basic Set House,Duplo,,1984,Retired,15,,C$71.50,,
1934,2346-1,Train Oval Suitcase,Duplo,,1996,Retired,54,,C$97.83,,
1935,2347-1,Barnaby Bear's Building Set,Duplo,Building Sets,1994,Retired,41,,Unknown,,
1936,2349-1,Basic Storage Unit,Duplo,,1996,Retired,41,,Unknown,,
1937,2350-1,Basic Building Set,Duplo,Building Sets,1981,Retired,22  (PPP C$0.87),C$19.17,Unknown,,
1938,235-1,Garage Plate and Door White Base and Door Frame,Classic,Supplemental,1958,Retired,5,,Unknown,,
1939,235-2,Garage Plate and Door Gray Base and Door Frame,Classic,Supplemental,1968,Retired,,,C$37.94,,
1940,2355-1,Basic Set Vehicles,Duplo,,1984,Retired,25,,C$96.95,,
1941,2356-1,Jumbo Zoo Tub,Duplo,,1996,Retired,117,,Unknown,,
1942,236-1,Garage with Automatic Door,Classic,Town Plan,1956,Retired,69,,Unknown,,
1943,2361-1,Matt and Mutt Building Set,Duplo,Building Sets,1991,Retired,23  (PPP C$0.56),C$12.78,C$29.37,+129.83%,+2.91%
1944,236-2,Garage and Van,Classic,Town Plan,1957,Retired,,,"C$2,302.20",,
1945,2362-1,Large Circus Bucket,Duplo,Building Sets,1995,Retired,57,,Unknown,,
1946,236-3,Garage with Automatic Door,Classic,Town Plan,1968,Retired,,C$6.08,"C$1,151.10",+18847.37%,
1947,2364-1,Circus Bucket Green,Duplo,Building Sets,1995,Retired,40,,Unknown,,
1948,2365-1,Basic Set Safari,Duplo,,1983,Retired,34,,C$470.28,,
1949,2366-1,Basic Set House and Car,Duplo,,1987,Retired,24,,C$75.41,,
1950,2368-1,XLarge Basic Bucket,Duplo,Building Sets,1995,Retired,71,,Unknown,,
