,0,1,2
2507,30400-1,CA $6.64,-
2508,3040-1,CA $67.16,CA $29.36
2509,30401-1,CA $6.86,CA $4.38
2510,30402-1,CA $6.30,CA $3.20
2511,30403-1,CA $6.07,CA $3.70
2512,30404-1,CA $8.90,CA $4.17
2513,30405-1,CA $6.78,CA $1.93
2514,30406-1,CA $6.39,CA $3.13
2515,30407-1,CA $10.63,CA $9.40
2516,30408-1,CA $7.55,CA $7.70
2517,30409-1,CA $6.74,-
2518,304-1,CA $29.42,CA $4.28
2519,30410-1,CA $5.60,CA $1.72
2520,3041-1,-,CA $62.69
2521,30411-1,CA $6.19,CA $6.11
2522,30412-1,CA $6.66,CA $5.12
2523,30420-1,CA $8.71,CA $6.27
2524,30421-1,CA $8.01,CA $5.75
2525,30422-1,CA $8.63,CA $6.45
2526,30423-1,CA $20.42,CA $11.40
2527,30424-1,CA $13.77,CA $10.43
2528,30425-1,CA $10.77,CA $9.43
2529,30426-1,CA $7.50,CA $6.98
2530,30427-1,CA $9.68,CA $5.06
2531,30428-1,CA $8.02,CA $4.78
2532,30446-1,CA $10.22,CA $2.94
2533,30447-1,CA $24.48,CA $11.42
2534,30448-1,CA $31.98,CA $25.68
2535,30449-1,CA $10.24,CA $8.03
2536,30450-1,CA $7.74,CA $4.41
2537,30451-1,CA $9.21,CA $3.92
2538,30452-1,CA $12.71,CA $7.97
2539,30453-1,CA $10.87,CA $8.96
2540,30460-1,CA $8.13,CA $2.74
2541,30461-1,CA $8.85,CA $7.60
2542,30463-1,CA $8.47,-
2543,30464-1,CA $7.33,CA $4.20
2544,3047-1,CA $77.04,-
2545,30471-1,CA $6.32,CA $2.61
2546,30472-1,CA $7.49,CA $6.20
2547,30473-1,CA $9.69,-
2548,30474-1,CA $19.69,CA $6.94
2549,30475-1,CA $10.63,-
2550,30476-1,CA $12.75,CA $3.53
2551,30477-1,CA $8.03,CA $4.15
2552,30478-1,CA $8.86,CA $5.73
2553,3048-1,CA $39.02,-
2554,30496-1,CA $8.53,CA $4.95
2555,30497-1,CA $9.62,CA $4.36
2556,30498-1,CA $7.49,CA $4.19
2557,30499-1,CA $6.89,CA $4.31
2558,3050-1,CA $161.86,CA $33.46
2559,305-1,CA $180.21,CA $42.85
2560,3051-1,CA $169.76,CA $39.30
2561,3052-1,CA $175.93,CA $87.36
2562,30521-1,CA $12.77,CA $4.33
2563,30522-1,CA $8.04,CA $5.38
2564,30523-1,CA $10.15,CA $5.81
2565,30524-1,CA $8.33,CA $3.03
2566,30525-1,CA $8.99,CA $4.13
2567,30526-1,CA $11.12,-
2568,30527-1,CA $6.43,-
2569,30528-1,CA $6.68,CA $2.73
2570,30529-1,CA $7.31,CA $4.60
2571,30530-1,CA $9.90,CA $9.04
2572,3053-1,CA $385.24,CA $146.12
2573,30531-1,CA $7.75,CA $4.52
2574,30532-1,CA $8.09,CA $6.76
2575,30533-1,CA $6.36,CA $3.57
2576,30534-1,CA $7.67,-
2577,30535-1,CA $6.78,CA $7.41
2578,30536-1,CA $6.46,CA $3.53
2579,30537-1,CA $8.46,CA $6.24
2580,30540-1,CA $8.43,-
2581,3054-1,CA $20.75,CA $9.57
2582,30541-1,CA $4.68,-
2583,30542-1,CA $9.17,CA $6.18
2584,30543-1,CA $9.65,CA $6.45
2585,30545-1,CA $5.80,-
2586,30546-1,CA $7.39,CA $2.40
2587,30547-1,CA $8.60,CA $3.21
2588,30548-1,CA $5.56,-
2589,30549-1,CA $5.66,-
2590,30550-1,CA $6.60,CA $3.82
2591,3055-1,CA $32.26,CA $9.75
2592,30551-1,CA $11.86,-
2593,30552-1,CA $12.77,-
2594,30553-1,CA $7.57,CA $5.49
2595,30554-1,CA $8.52,CA $3.69
2596,30555-1,CA $7.17,CA $3.00
2597,30556-1,CA $6.46,CA $2.35
2598,3056-1,CA $17.65,CA $4.49
2599,30571-1,CA $7.26,CA $5.43
2600,30572-1,CA $5.99,CA $5.31
2601,30573-1,CA $6.84,CA $5.05
2602,30574-1,CA $7.84,CA $6.54
2603,30575-1,CA $8.01,-
2604,30576-1,CA $8.24,-
2605,3058-1,CA $58.65,CA $7.38
2606,3059-1,CA $24.08,CA $11.13
2607,30601-1,CA $25.41,CA $15.19
2608,30602-1,CA $18.59,CA $10.34
2609,30603-1,CA $17.35,CA $8.59
2610,30604-1,CA $19.74,CA $10.08
2611,30605-1,CA $18.54,CA $15.83
2612,30606-1,CA $23.69,-
2613,30607-1,CA $23.19,CA $16.14
2614,30608-1,CA $9.51,CA $6.90
2615,30609-1,CA $7.66,CA $4.47
2616,306-1,-,CA $36.35
2617,30610-1,CA $27.56,CA $20.48
2618,3061-1,CA $71.37,CA $32.27
2619,30611-1,CA $32.08,CA $15.45
2620,30612-1,CA $25.22,CA $13.41
2621,30614-1,CA $19.30,-
2622,30615-1,CA $15.31,CA $12.19
2623,30617-1,CA $29.46,-
2624,306-2,-,"CA $1,018.70"
2625,30620-1,CA $21.68,-
2626,30623-1,CA $33.60,-
2627,30624-1,CA $20.27,CA $21.16
2628,30628-1,CA $85.13,-
2629,3063-1,CA $39.35,CA $21.86
2630,3065-1,CA $67.28,CA $21.63
2631,3066-1,-,CA $6.42
2632,3067-1,-,CA $7.06
2633,3068-1,-,CA $5.09
2634,3069-1,-,CA $3.60
2635,3070-1,CA $44.94,-
2636,307-2,-,CA $974.94
2637,3072-1,-,CA $5.14
2638,3073-1,-,CA $5.14
2639,3074-1,CA $120.58,-
2640,3075-1,-,-
2641,3076-1,CA $120.58,CA $27.51
2642,3077-1,CA $120.58,-
2643,3078-1,CA $15.41,-
2644,3079-1,CA $29.96,CA $3.13
2645,3080-1,CA $20.95,CA $5.09
2646,308-1,CA $231.14,CA $33.67
2647,3081-1,CA $19.09,-
2648,308-2,CA $32.10,CA $6.98
2649,308-3,-,"CA $1,093.41"
2650,3085-1,CA $87.32,CA $45.96
2651,3089-1,CA $78.35,-
2652,3090-1,-,-
2653,309-1,CA $156.72,-
2654,3091-1,-,CA $9.76
2655,309-2,"CA $1,175.43",CA $313.45
2656,3092-1,-,CA $28.13
2657,3093-1,-,CA $59.73
2658,3099-1,-,CA $42.30
2659,31000-1,CA $12.24,CA $5.36
2660,3100-1,CA $24.16,-
2661,31001-1,CA $16.32,CA $5.79
2662,31002-1,CA $23.87,CA $8.85
2663,31003-1,CA $23.25,CA $9.77
2664,31004-1,CA $32.93,CA $13.15
2665,31005-1,CA $46.39,CA $15.08
2666,31006-1,CA $57.07,CA $23.08
2667,31007-1,CA $66.72,CA $22.20
2668,31008-1,CA $56.37,CA $19.09
2669,31009-1,CA $54.20,CA $33.27
2670,310-1,-,CA $106.42
2671,31010-1,CA $69.18,CA $32.13
2672,3101-1,CA $10.92,-
2673,31011-1,CA $99.01,CA $58.70
2674,31012-1,CA $196.21,CA $124.22
2675,31013-1,CA $12.23,CA $5.13
2676,31014-1,CA $15.78,CA $5.81
2677,31015-1,CA $25.48,CA $7.92
2678,31017-1,CA $25.57,CA $8.47
2679,31018-1,CA $26.63,CA $9.77
2680,31019-1,CA $38.02,CA $20.49
2681,310-2,CA $107.11,CA $58.30
2682,31020-1,CA $34.65,CA $16.07
2683,3102-1,CA $11.72,-
2684,31021-1,CA $57.43,CA $38.25
2685,31022-1,CA $41.01,CA $19.27
2686,31023-1,CA $42.45,CA $23.22
2687,31024-1,CA $57.24,CA $28.32
2688,31025-1,CA $81.75,CA $56.31
2689,31026-1,CA $162.69,CA $119.36
2690,31027-1,CA $13.95,CA $4.95
2691,31028-1,CA $15.89,CA $5.86
2692,31029-1,CA $23.82,CA $8.43
2693,310-3,-,CA $37.27
2694,31030-1,CA $22.08,CA $9.65
2695,3103-1,CA $54.85,CA $14.89
2696,31031-1,CA $71.91,CA $41.33
2697,31032-1,CA $69.04,CA $27.52
2698,31033-1,CA $82.61,CA $22.71
2699,31034-1,CA $107.41,CA $27.86
2700,31035-1,CA $54.57,CA $43.00
2701,31036-1,CA $101.43,CA $65.54
2702,31037-1,CA $32.65,CA $19.28
2703,31038-1,CA $89.27,CA $51.95
2704,31039-1,CA $137.29,CA $105.73
2705,310-4,CA $38.14,CA $11.75
2706,31040-1,CA $24.67,CA $4.97
2707,3104-1,CA $53.55,-
2708,31041-1,CA $23.55,CA $7.22
2709,31042-1,CA $23.05,CA $9.83
2710,31043-1,CA $37.45,CA $9.82
2711,31044-1,CA $48.92,CA $33.03
2712,31045-1,CA $55.75,CA $19.23
2713,31046-1,CA $31.44,CA $13.26
2714,31047-1,CA $34.34,CA $19.96
2715,31048-1,CA $66.56,CA $45.31
2716,31049-1,CA $44.43,CA $20.38
2717,310-5,-,CA $924.67
2718,31050-1,CA $93.87,CA $78.72
2719,3105-1,CA $37.87,-
2720,31051-1,CA $118.90,CA $109.91
2721,31052-1,CA $141.70,CA $84.06
2722,31053-1,CA $59.93,CA $35.31
2723,31054-1,CA $14.71,CA $7.67
2724,31055-1,CA $10.62,CA $4.43
2725,31056-1,CA $15.51,CA $8.55
2726,31057-1,CA $16.69,CA $10.35
2727,31058-1,CA $24.12,CA $13.71
2728,31059-1,CA $37.33,CA $26.16
2729,31060-1,CA $33.43,CA $22.91
2730,3106-1,CA $44.41,CA $42.32
2731,31062-1,CA $31.56,CA $19.66
2732,31063-1,CA $43.49,CA $30.62
2733,31064-1,CA $48.37,CA $34.93
2734,31065-1,CA $121.55,CA $86.00
2735,31066-1,CA $55.07,CA $33.04
2736,31067-1,CA $61.99,CA $45.98
2737,31068-1,CA $74.86,CA $47.74
2738,31069-1,CA $127.53,CA $86.63
2739,31070-1,CA $94.93,CA $73.59
2740,3107-1,CA $32.90,CA $18.83
2741,31071-1,CA $17.20,CA $10.63
2742,31072-1,CA $17.11,CA $13.19
2743,31073-1,CA $27.71,CA $19.35
2744,31074-1,CA $30.63,CA $17.49
2745,31075-1,CA $29.59,CA $18.96
2746,31076-1,CA $28.92,CA $19.50
2747,31077-1,CA $65.39,CA $48.05
2748,31078-1,CA $55.18,-
2749,31079-1,CA $55.56,CA $35.71
2750,31080-1,CA $53.35,-
2751,31081-1,CA $66.24,CA $47.94
2752,31083-1,CA $77.77,CA $40.47
2753,31084-1,CA $163.51,CA $136.51
2754,31085-1,CA $72.29,CA $54.69
2755,31086-1,CA $24.80,CA $10.27
2756,31087-1,CA $18.11,CA $10.03
2757,31088-1,CA $24.08,CA $14.80
2758,31089-1,CA $27.75,CA $17.98
2759,31090-1,CA $27.72,CA $14.13
2760,31091-1,CA $39.25,CA $25.98
2761,31092-1,CA $13.69,CA $7.84
2762,31093-1,CA $47.54,CA $39.18
2763,31094-1,CA $38.06,-
2764,31095-1,CA $74.89,CA $52.07
2765,31096-1,CA $74.78,CA $62.69
2766,31097-1,CA $122.74,CA $86.20
2767,31098-1,CA $48.84,CA $46.61
2768,31099-1,CA $13.53,CA $8.47
2769,31100-1,CA $14.30,CA $12.32
2770,3110-1,CA $40.93,CA $25.86
2771,31101-1,CA $21.37,CA $15.40
2772,31102-1,CA $27.68,-
2773,31103-1,CA $31.82,CA $25.03
2774,31104-1,CA $65.81,CA $59.06
2775,31105-1,CA $70.27,CA $50.71
2776,31107-1,CA $68.93,-
2777,31108-1,CA $110.56,-
2778,31109-1,CA $156.47,CA $101.87
2779,311-1,-,CA $44.04
2780,311-2,CA $109.12,CA $23.51
2781,3112-1,CA $47.41,-
2782,311-3,CA $45.45,-
2783,3115-1,-,CA $56.00
2784,3116-1,-,CA $117.54
2785,3118-1,-,CA $251.98
2786,3119-1,CA $388.23,CA $250.93
2787,31197-1,CA $175.24,-
2788,31198-1,CA $174.23,CA $127.13
2789,31199-1,CA $176.90,CA $188.07
2790,31200-1,CA $180.53,CA $188.07
2791,3120-1,CA $94.02,CA $52.11
2792,3121-1,-,-
2793,312-2,CA $192.62,CA $85.12
2794,312-3,-,CA $51.89
2795,3123-1,-,CA $78.28
2796,312-4,-,-
2797,3130-1,CA $29.34,CA $19.98
2798,313-1,-,CA $109.32
2799,31313-1,CA $549.03,CA $340.84
2800,313-2,CA $168.46,-
2801,3132-1,CA $28.51,-
2802,3133-1,-,CA $20.14
2803,3134-1,-,-
2804,3135-1,-,CA $45.45
2805,3136-1,-,CA $45.45
2806,3137-1,CA $10.48,-
2807,3138-1,CA $12.05,-
2808,3139-1,-,CA $14.18
2809,3140-1,CA $15.16,-
2810,314-1,CA $238.67,CA $25.27
2811,3141-1,CA $9.44,CA $6.19
2812,314-2,CA $313.45,CA $64.97
2813,3143-1,-,-
2814,3144-1,-,CA $53.15
2815,3148-1,-,CA $123.97
2816,3149-1,CA $26.34,CA $250.76
2817,3150-1,-,CA $21.65
2818,315-1,CA $26.33,CA $8.23
2819,3151-1,-,CA $59.14
2820,315-2,"CA $1,097.07",-
2821,3152-1,CA $70.53,CA $54.17
2822,315-3,-,CA $38.34
2823,3156-1,CA $14.54,-
2824,3157-1,CA $11.25,-
2825,3158-1,-,CA $8.07
2826,3159-1,CA $19.30,CA $12.54
2827,316-1,-,CA $45.26
2828,316-2,-,CA $78.44
2829,317-1,-,CA $188.26
2830,317-2,CA $25.67,-
2831,3177-1,CA $22.77,CA $7.17
2832,3178-1,CA $32.58,CA $11.21
2833,3179-1,CA $45.21,CA $19.55
2834,3180-1,CA $121.17,CA $40.85
2835,318-1,-,CA $73.86
2836,3181-1,CA $212.73,CA $62.20
2837,3181-2,-,-
2838,3182-1,CA $312.18,CA $130.44
2839,3183-1,CA $43.03,CA $14.15
2840,3184-1,CA $98.22,CA $36.50
2841,3185-1,CA $283.95,CA $133.14
2842,3186-1,CA $99.50,CA $29.16
2843,3187-1,CA $92.94,CA $33.72
2844,3188-1,CA $195.73,CA $62.91
2845,3189-1,CA $171.89,CA $58.52
2846,319-1,-,CA $93.64
2847,3193-1,CA $13.41,-
2848,3194-1,CA $10.92,-
2849,3195-1,CA $10.31,-
2850,3196-1,CA $13.27,-
2851,3197-1,CA $78.35,-
2852,3200-1,CA $65.06,-
2853,320-1,CA $64.21,CA $27.14
2854,3201-1,CA $39.18,-
2855,320-2,-,CA $164.53
2856,3202-1,CA $94.02,CA $42.62
2857,3203-1,CA $58.62,-
2858,3204-1,CA $37.61,-
2859,3205-1,-,CA $47.02
2860,3206-1,-,CA $39.18
2861,3210-1,CA $23.51,-
2862,3211-1,CA $34.95,-
2863,3219-1,CA $16.44,CA $4.75
2864,3220-1,CA $87.15,-
2865,322-1,CA $92.01,-
2866,3221-1,CA $202.49,CA $67.93
2867,322-2,-,CA $161.71
2868,3222-1,CA $173.09,CA $59.01
2869,3223-1,CA $12.08,CA $6.85
2870,3225-1,CA $451.33,CA $303.23
2871,3233-1,CA $48.80,CA $11.70
2872,3234-1,CA $34.82,CA $9.63
2873,3240-1,CA $45.45,-
2874,324-1,CA $87.04,CA $8.79
2875,3241-1,-,CA $51.59
2876,324-2,-,-
2877,3242-1,-,-
2878,3243-1,CA $243.99,CA $82.20
2879,325-1,-,CA $11.09
2880,325-2,-,CA $9.15
2881,325-3,-,CA $320.99
2882,326-1,-,CA $49.44
2883,3263-1,CA $29.37,CA $19.14
2884,3264-1,-,CA $31.34
2885,3265-1,-,CA $36.75
2886,3266-1,-,CA $70.22
2887,3267-1,-,CA $35.89
2888,3270-1,CA $313.45,CA $208.94
2889,327-1,CA $126.84,CA $18.79
2890,3271-1,-,CA $9.90
2891,3272-1,CA $74.34,CA $32.48
2892,3273-1,CA $71.19,CA $18.81
2893,3274-1,-,CA $28.25
2894,3275-1,-,CA $48.18
2895,3276-1,-,CA $61.67
2896,3278-1,CA $21.76,CA $15.95
2897,3279-1,CA $16.11,CA $15.90
2898,328-1,CA $130.57,CA $13.19
2899,3281-1,CA $19.27,CA $12.42
2900,328-2,-,CA $25.80
2901,3282-1,CA $108.14,CA $35.79
2902,3283-1,CA $75.41,CA $50.91
2903,3284-1,-,CA $25.08
2904,3285-1,CA $23.18,CA $18.81
2905,3286-1,CA $19.75,CA $18.81
2906,3287-1,CA $634.73,CA $232.41
2907,3288-1,CA $76.79,CA $34.02
2908,3289-1,CA $115.62,-
2909,3290-1,CA $435.30,CA $344.08
2910,329-1,-,CA $47.28
2911,329-2,-,CA $13.97
2912,3292-1,CA $60.75,CA $12.46
2913,3293-1,CA $101.87,-
2914,3294-1,-,CA $29.57
2915,3295-1,CA $141.13,CA $61.34
2916,3296-1,CA $115.88,CA $30.56
2917,3298-1,CA $77.05,CA $25.86
2918,3299-1,-,CA $38.27
2919,3300000-1,CA $75.44,CA $14.86
2920,3300001-1,CA $69.39,CA $35.31
2921,3300002-1,CA $46.07,CA $21.83
2922,3300003-1,CA $149.34,CA $77.56
2923,3300005-1,CA $532.81,-
2924,3300006-1,-,CA $25.96
2925,3300014-1,CA $74.61,CA $55.40
2926,3300020-1,CA $36.41,CA $17.30
2927,3300-1,CA $167.10,CA $59.69
2928,330-1,-,CA $30.26
2929,3301-1,CA $165.30,CA $32.10
2930,330-2,-,-
2931,3302-1,CA $51.58,CA $103.14
2932,330-3,-,CA $9.39
2933,3303-1,CA $58.12,CA $26.38
2934,3304-1,CA $13.65,CA $2.35
2935,3305-1,CA $7.44,CA $1.37
2936,3305-2,CA $10.23,-
2937,3305-3,CA $7.66,-
2938,3306-1,CA $18.43,-
2939,3308-1,CA $75.16,CA $45.66
2940,3309-1,CA $78.35,CA $66.17
2941,3310-1,CA $56.32,CA $24.52
2942,331-1,-,CA $42.03
2943,3311-1,CA $41.53,CA $16.24
2944,3312-1,CA $117.54,CA $19.55
2945,3313-1,CA $73.00,CA $54.85
2946,3314-1,CA $71.83,CA $36.28
2947,3315-1,CA $233.67,CA $88.10
2948,3316-1,CA $55.47,CA $22.84
2949,3317-1,CA $10.75,-
2950,3318-1,CA $25.55,-
2951,3320-1,CA $8.70,-
2952,332-1,CA $42.16,CA $38.17
2953,3323-1,CA $28.52,-
2954,3324-1,CA $21.58,-
2955,3325-1,CA $256.92,CA $190.99
2956,3326-1,CA $97.81,CA $71.28
2957,3327-1,CA $210.34,CA $117.52
2958,3330-1,CA $23.94,CA $3.85
2959,333-1,-,CA $17.43
2960,333-2,CA $348.22,CA $53.86
2961,3332-1,-,CA $2.48
2962,3333-1,-,CA $3.24
2963,3334-1,CA $87.06,CA $55.06
2964,3335-1,CA $247.73,CA $107.34
2965,3340-1,CA $178.45,CA $60.13
2966,334-1,-,CA $196.62
2967,3341-1,CA $154.00,CA $70.63
2968,3342-1,CA $99.51,CA $51.37
2969,3343-1,CA $75.17,CA $123.16
2970,3344-1,CA $166.62,-
2971,3345-1,CA $163.72,-
2972,3346-1,CA $165.14,CA $108.07
2973,3347-1,CA $329.07,-
2974,3348-1,CA $36.99,-
2975,3349-1,CA $44.29,-
2976,3350-1,CA $23.94,-
2977,335-1,-,CA $28.89
2978,3351-1,CA $26.09,-
2979,335-2,-,CA $64.03
2980,3352-1,CA $153.97,CA $46.99
2981,3353-1,CA $130.59,CA $66.15
2982,3354-1,CA $256.70,-
2983,336-1,-,CA $45.86
2984,3365-1,CA $18.79,CA $5.76
2985,3366-1,CA $54.24,CA $17.14
2986,3367-1,CA $80.42,CA $27.43
2987,3368-1,CA $224.29,CA $88.22
2988,337-2,-,CA $108.90
2989,3380-1,CA $43.05,-
2990,338-1,-,CA $53.75
2991,3381-1,CA $43.05,-
2992,338-2,-,CA $35.86
2993,3382-1,CA $33.32,-
2994,3383-1,-,CA $10.72
2995,3384-1,-,CA $19.26
2996,3385-1,CA $51.37,CA $19.26
2997,3386-1,-,CA $19.26
2998,3387-1,CA $25.45,-
2999,3388-1,CA $39.91,-
3000,3389-1,-,-
3001,3390-1,-,CA $12.54
3002,3391-1,CA $32.10,-
3003,3-4,-,CA $72.17
3004,340-1,CA $125.38,CA $31.15
3005,3401-1,CA $37.73,CA $8.37
3006,3401-2,CA $58.37,CA $18.02
3007,3402-1,CA $28.36,CA $21.24
3008,340-3,CA $79.76,CA $49.65
3009,3403-1,CA $46.71,CA $19.57
3010,3404-1,CA $106.88,CA $51.06
3011,3405-1,CA $116.36,CA $57.84
3012,3406-1,CA $68.75,CA $33.09
3013,3407-1,CA $82.25,CA $43.12
3014,3408-1,CA $86.82,CA $50.10
3015,3409-1,CA $246.63,CA $80.91
3016,3409-2,CA $280.54,-
3017,3410-1,CA $26.58,CA $12.06
3018,341-1,-,CA $119.27
3019,3411-1,CA $70.20,CA $47.05
3020,341-2,-,CA $88.59
3021,3412-1,CA $40.54,CA $10.59
3022,3413-1,CA $27.30,CA $8.08
3023,3414-1,CA $38.71,CA $9.13
3024,3416-1,CA $47.20,CA $21.17
3025,3418-1,CA $34.07,CA $25.68
3026,3419-1,CA $50.20,-
3027,3420-1,CA $246.84,CA $70.85
3028,3420-3,CA $462.33,-
3029,342-1,-,CA $167.30
3030,3421-1,CA $133.34,CA $49.82
3031,3422-1,-,CA $28.06
3032,3423-1,CA $50.16,CA $15.04
3033,3424-1,CA $26.10,CA $10.24
3034,3425-1,CA $255.54,CA $117.71
3035,3425-2,-,CA $97.74
3036,3426-1,-,CA $38.76
3037,3427-1,CA $67.72,CA $20.92
3038,3428-1,CA $49.20,CA $32.61
3039,3429-1,CA $44.72,CA $27.36
3040,3430-1,CA $39.64,CA $27.62
3041,343-1,-,CA $199.97
3042,3431-1,CA $178.37,CA $63.82
3043,3432-1,CA $331.47,CA $105.28
3044,3433-1,CA $542.12,CA $248.84
3045,3438-1,CA $211.52,CA $117.18
3046,3439-1,CA $34.61,CA $12.85
3047,3440-1,CA $54.56,CA $50.87
3048,344-1,-,CA $87.74
3049,344-2,-,CA $125.38
3050,3442-1,CA $120.80,CA $68.84
3051,3444-1,-,-
3052,3445-1,CA $13.69,CA $0.78
3053,3446-1,CA $22.84,-
3054,3447-1,CA $29.14,-
3055,3448-1,CA $38.22,-
3056,3449-1,CA $42.61,CA $15.66
3057,3450-1,"CA $3,418.82","CA $1,729.22"
3058,345-1,-,CA $62.30
3059,3451-1,CA $337.39,CA $180.08
3060,345-2,-,-
3061,3454-1,CA $19.98,-
3062,3455-1,CA $28.99,-
3063,3457-1,CA $39.18,-
3064,3458-1,-,-
3065,3459-1,CA $22.28,-
3066,3460-1,CA $30.17,-
3067,346-1,-,CA $31.34
3068,3461-1,CA $25.58,-
3069,346-2,-,CA $137.00
3070,3462-1,CA $23.51,-
3071,3464-1,CA $34.48,-
3072,3467-1,CA $7.84,-
3073,3468-1,CA $9.80,-
3074,3469-1,CA $12.15,-
3075,347-1,-,CA $78.23
3076,3471-1,CA $12.09,-
3077,3472-1,CA $18.42,-
3078,347-3,-,CA $220.44
3079,3473-1,CA $21.86,-
3080,3474-1,-,-
3081,3475-1,-,-
3082,3476-1,CA $9.60,-
3083,3477-1,CA $5.49,-
3084,3478-1,CA $22.72,-
3085,348-1,-,CA $30.81
3086,3481-1,CA $7.28,-
3087,3484-1,CA $11.49,-
3088,3488-1,-,-
3089,3489-1,CA $6.41,-
3090,349-1,-,CA $73.57
3091,3492-1,CA $16.49,-
3092,3493-1,CA $26.37,-
3093,3494-1,CA $15.42,-
3094,3495-1,CA $18.02,-
3095,3496-1,CA $11.75,-
3096,3497-1,CA $19.85,-
3097,3498-1,CA $21.20,CA $7.88
3098,3499-1,CA $43.82,-
3099,3500-1,CA $411.87,CA $96.31
3100,350-1,-,CA $63.20
3101,3501-1,CA $19.96,CA $7.82
3102,350-2,CA $422.37,-
3103,3502-1,CA $20.19,CA $5.48
3104,350-3,-,CA $66.48
3105,3503-1,CA $19.88,CA $4.69
3106,3504-1,CA $18.81,CA $6.13
3107,3505-1,CA $29.62,-
3108,3506-1,-,CA $9.52
3109,3507-1,-,-
3110,3508-1,CA $13.41,-
3111,3510-1,CA $20.15,CA $2.13
3112,351-1,-,CA $95.90
3113,3511-1,CA $39.02,CA $32.09
3114,3512-1,-,CA $21.93
3115,3513-1,CA $18.62,CA $20.37
3116,3514-1,CA $39.18,-
3117,3517-1,CA $14.88,-
3118,3518-1,CA $23.35,-
3119,3519-1,CA $15.27,-
3120,352-1,-,CA $55.89
3121,3521-1,-,CA $7.83
3122,3529-1,CA $32.73,CA $15.66
3123,3530-1,CA $52.24,CA $25.68
3124,353-1,-,CA $86.59
3125,3531-1,-,CA $9.36
3126,3532-1,CA $25.68,CA $5.49
3127,3535-1,CA $63.25,CA $18.05
3128,3536-1,CA $124.20,CA $51.98
3129,3537-1,CA $88.88,CA $46.28
3130,3538-1,CA $119.53,CA $69.63
3131,3540-1,CA $33.76,CA $7.15
3132,354-1,-,CA $55.50
3133,3541-1,CA $15.88,CA $6.45
3134,3542-1,CA $27.00,CA $8.52
3135,3543-1,CA $20.00,CA $8.58
3136,3544-1,CA $53.11,CA $21.77
3137,3545-1,CA $51.15,CA $26.73
3138,3548-1,CA $31.93,CA $11.00
3139,3549-1,CA $30.31,CA $5.20
3140,3550-1,CA $25.36,CA $8.19
3141,355-1,-,CA $196.56
3142,3551-1,CA $40.93,CA $13.79
3143,355-2,CA $248.15,-
3144,3552-1,-,CA $36.21
3145,3554-1,CA $144.96,CA $52.49
3146,3557-1,CA $9.17,CA $2.71
3147,3558-1,CA $9.72,CA $3.44
3148,3559-1,CA $8.41,CA $3.82
3149,3560-1,CA $54.51,CA $18.61
3150,356-1,-,CA $45.28
3151,3561-1,CA $55.29,CA $66.66
3152,3562-1,CA $58.18,CA $60.08
3153,3563-1,CA $71.68,-
3154,3564-1,CA $44.20,CA $43.88
3155,3565-1,CA $34.97,-
3156,3566-1,CA $41.06,CA $15.41
3157,3567-1,CA $37.06,CA $31.46
3158,3568-1,-,CA $18.59
3159,3569-1,CA $353.26,CA $122.45
3160,3570-1,CA $168.14,CA $80.79
3161,357-1,-,CA $87.70
3162,3571-1,CA $72.26,CA $43.66
3163,3573-1,-,-
3164,3578-1,CA $395.87,CA $203.43
3165,3579-1,CA $100.23,CA $31.34
3166,358-1,-,CA $108.68
3167,3581-1,CA $93.32,CA $42.03
3168,3582-1,-,-
3169,3584-1,CA $39.18,CA $24.14
3170,3585-1,CA $282.11,CA $186.83
3171,3586-1,CA $32.10,CA $28.99
3172,3587-1,-,CA $21.65
3173,3588-1,CA $72.91,CA $31.34
3174,3589-1,CA $86.18,CA $39.18
3175,3590-1,-,CA $35.45
3176,3591-1,CA $117.54,CA $54.46
3177,3594-1,-,CA $14.58
3178,3595-1,CA $46.63,CA $31.34
3179,3596-1,CA $68.28,-
3180,3597-1,-,CA $4.70
3181,3598-1,CA $289.94,CA $114.41
3182,3599-1,-,-
3183,3-6,-,CA $313.45
3184,360-1,CA $266.43,CA $89.10
3185,3601-1,CA $345.37,CA $17.32
3186,3602-1,CA $490.50,CA $12.98
3187,3603-1,CA $89.76,CA $9.64
3188,3604-1,-,CA $9.08
3189,3605-1,-,CA $6.92
3190,3605-2,CA $56.26,-
3191,3606-1,CA $23.12,-
3192,3607-1,CA $26.45,-
3193,3608-1,CA $158.02,CA $54.85
3194,3609-1,CA $53.27,CA $27.43
3195,3610-1,-,-
3196,361-1,-,CA $61.84
3197,3611-1,CA $41.26,CA $16.71
3198,361-2,CA $870.53,CA $34.51
3199,3612-1,-,CA $39.10
3200,3613-1,CA $51.38,CA $41.84
3201,3614-1,CA $83.34,CA $54.70
3202,3615-1,-,CA $10.90
3203,3615-2,CA $147.67,CA $90.57
3204,3616-1,CA $62.69,-
3205,3617-1,-,-
3206,3618-1,-,CA $66.47
3207,3619-1,CA $156.63,CA $85.06
3208,3620-1,-,-
3209,362-1,-,CA $55.10
3210,3621-1,-,-
3211,3622-1,-,CA $40.72
3212,3623-1,CA $256.83,CA $46.76
3213,3624-1,-,CA $30.15
3214,3625-1,CA $429.22,CA $20.39
3215,3626-1,-,CA $36.96
3216,3627-1,-,CA $26.80
3217,3628-1,-,CA $20.08
3218,3629-1,-,CA $16.26
3219,3630-1,-,CA $20.36
